workload,scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
mixed,Sc2,12,6,1,16.0,CAG,9,2.337,1,9.0,23.04,3.229
mixed,Sc2,12,6,1,32.0,OBL,9,1.238,1,9.0,29.752,8.687
mixed,Sc2,12,6,1,32.0,JDQC,9,1.238,1,9.0,13.231,7.09
mixed,Sc2,12,6,1,32.0,CAG,9,2.337,1,9.0,23.04,3.377
mixed,Sc2,12,7,1,4.0,OBL,10,25.001,7,1.4286,8.702,2.482
mixed,Sc2,12,7,1,4.0,JDQC,9,0.0,1,9.0,3.645,10.289
mixed,Sc2,12,7,1,4.0,CAG,9,2.499,1,9.0,8.832,1.195
mixed,Sc2,12,7,1,8.0,OBL,10,25.001,4,2.5,8.702,2.482
mixed,Sc2,12,7,1,8.0,JDQC,10,7.393,1,10.0,6.329,7.196
mixed,Sc2,12,7,1,8.0,CAG,9,2.499,1,9.0,8.832,1.205
mixed,Sc2,12,7,1,16.0,OBL,10,25.001,2,5.0,8.702,2.482
mixed,Sc2,12,7,1,16.0,JDQC,10,6.174,1,10.0,4.384,5.511
mixed,Sc2,12,7,1,16.0,CAG,9,2.499,1,9.0,8.832,1.3
mixed,Sc2,12,7,1,32.0,OBL,10,25.001,1,10.0,8.702,2.482
mixed,Sc2,12,7,1,32.0,JDQC,10,16.96,1,10.0,7.568,5.313
mixed,Sc2,12,7,1,32.0,CAG,9,2.499,1,9.0,8.832,1.449
mixed,Sc2,12,8,1,4.0,OBL,9,0.0,1,9.0,7.824,8.736
mixed,Sc2,12,8,1,4.0,JDQC,9,0.0,1,9.0,9.957,6.662
mixed,Sc2,12,8,1,4.0,CAG,8,0.0,1,8.0,9.233,1.28
mixed,Sc2,12,8,1,8.0,OBL,9,0.0,1,9.0,7.824,8.736
mixed,Sc2,12,8,1,8.0,JDQC,9,0.0,1,9.0,6.019,10.303
mixed,Sc2,12,8,1,8.0,CAG,8,0.0,1,8.0,9.233,1.287
mixed,Sc2,12,8,1,16.0,OBL,9,0.0,1,9.0,7.824,8.736
mixed,Sc2,12,8,1,16.0,JDQC,9,0.0,1,9.0,5.277,10.326
mixed,Sc2,12,8,1,16.0,CAG,8,0.0,1,8.0,9.233,1.364
mixed,Sc2,12,8,1,32.0,OBL,9,0.0,1,9.0,7.824,8.736
mixed,Sc2,12,8,1,32.0,JDQC,9,0.0,1,9.0,3.557,7.459
mixed,Sc2,12,8,1,32.0,CAG,8,0.0,1,8.0,9.233,1.594
mixed,Sc2,12,9,1,4.0,OBL,9,0.0,1,9.0,6.44,10.308
mixed,Sc2,12,9,1,4.0,JDQC,9,0.0,1,9.0,5.28,10.339
mixed,Sc2,12,9,1,4.0,CAG,8,2.58,1,8.0,6.697,1.291
mixed,Sc2,12,9,1,8.0,OBL,9,0.0,1,9.0,6.44,10.308
mixed,Sc2,12,9,1,8.0,JDQC,9,0.0,1,9.0,4.332,10.33
mixed,Sc2,12,9,1,8.0,CAG,9,7.768,1,9.0,8.855,1.301
mixed,Sc2,12,9,1,16.0,OBL,9,0.0,1,9.0,6.44,10.308
mixed,Sc2,12,9,1,16.0,JDQC,9,0.0,1,9.0,5.766,10.321
mixed,Sc2,12,9,1,16.0,CAG,9,12.256,1,9.0,10.155,1.363
mixed,Sc2,12,9,1,32.0,OBL,9,0.0,1,9.0,6.44,10.308
mixed,Sc2,12,9,1,32.0,JDQC,9,0.0,1,9.0,3.291,10.304
mixed,Sc2,12,9,1,32.0,CAG,9,12.256,1,9.0,10.155,1.458
